run_id,name,category,mode,width,height,frames,duration_s,steps,fast,seed,elapsed_s,elapsed_m,size_kb,desc
RUN_01,I2V_512x288_90f_08steps,steps_axis,I2V,512,288,90,3.75,8,True,42,411.71,6.86,125.4,"Quick Preset Step Level (8 steps)"
RUN_02,I2V_512x288_90f_10steps,steps_axis,I2V,512,288,90,3.75,10,True,42,405.38,6.76,120.7,"Standard Baseline (10 steps)"
RUN_03,I2V_512x288_90f_12steps,steps_axis,I2V,512,288,90,3.75,12,True,42,432.83,7.21,128.3,"High Preset Step Level (12 steps)"
RUN_04,I2V_512x288_90f_16steps,steps_axis,I2V,512,288,90,3.75,16,True,42,488.94,8.15,126.3,"Proposed Standard Sweet Spot (16 steps)"
RUN_05,I2V_512x288_90f_20steps,steps_axis,I2V,512,288,90,3.75,20,True,42,510.09,8.5,123.9,"High Quality Candidate (20 steps)"
RUN_06,I2V_512x288_90f_24steps,steps_axis,I2V,512,288,90,3.75,24,True,42,561.46,9.36,124.9,"Quality Ceiling (24 steps)"
RUN_07,I2V_640x384_90f_16steps,resolution_axis,I2V,640,384,90,3.75,16,True,42,708.32,11.81,169.7,"Tier 2 Resolution @ 16 steps"
RUN_08,I2V_640x384_90f_20steps,resolution_axis,I2V,640,384,90,3.75,20,True,42,729.16,12.15,179.5,"Tier 2 Resolution @ 20 steps"
RUN_09,I2V_640x384_73f_16steps,duration_axis,I2V,640,384,73,3.04,16,True,42,594.66,9.91,135.2,"Short 3.0s (73 frames)"
RUN_10,I2V_640x384_107f_16steps,duration_axis,I2V,640,384,107,4.46,16,True,42,857.83,14.3,171.1,"Medium 4.5s (107 frames)"
RUN_11,I2V_640x384_124f_20steps,duration_axis,I2V,640,384,124,5.17,20,True,42,981.09,16.35,285.2,"Long 5.2s (124 frames @ 20 steps)"
RUN_12,I2V_640x384_141f_20steps,duration_axis,I2V,640,384,141,5.88,20,True,42,1117.64,18.63,353.5,"Max Single Window 5.9s (141 frames @ 20 steps)"
RUN_13,T2V_512x288_90f_10steps,conditioning_axis,T2V,512,288,90,3.75,10,True,42,397.19,6.62,155.9,"T2V Current Baseline (10 steps)"
RUN_14,T2V_640x384_90f_16steps,conditioning_axis,T2V,640,384,90,3.75,16,True,42,678.83,11.31,107.0,"T2V Proposed Standard (16 steps)"
RUN_15,T2V_640x384_90f_24steps,conditioning_axis,T2V,640,384,90,3.75,24,True,42,790.7,13.18,123.2,"T2V High Steps (24 steps)"
RUN_16,I2V_Portrait_288x512_90f_10steps,portrait_axis,I2V,288,512,90,3.75,10,True,42,398.21,6.64,131.2,"Portrait Current Baseline (288x512, 10 steps)"
RUN_17,I2V_Portrait_384x640_90f_16steps,portrait_axis,I2V,384,640,90,3.75,16,True,42,705.27,11.75,226.9,"Portrait Proposed Standard (384x640, 16 steps)"
FINAL_RUN_01,CurrentHigh_640x384_90f_12st_FastON_s42,current_high_baseline,I2V,640,384,90,3.75,12,True,42,604.9,10.08,172.9,"Exact Current High Baseline (640x384, 90f, 12st, Fast ON, s42)"
FINAL_RUN_02,FastOFF_640x384_90f_16st_FastOFF_s42,fast_mode_comparison,I2V,640,384,90,3.75,16,False,42,1188.24,19.8,143.1,"Fast OFF Comparison @ 16 steps (640x384, 90f, Fast OFF, s42)"
FINAL_RUN_03,FastOFF_640x384_90f_20st_FastOFF_s42,fast_mode_comparison,I2V,640,384,90,3.75,20,False,42,1421.74,23.7,141.3,"Fast OFF Comparison @ 20 steps (640x384, 90f, Fast OFF, s42)"
FINAL_RUN_04,SeedReplication_640x384_90f_16st_FastON_s31415,seed_replication,I2V,640,384,90,3.75,16,True,31415,722.56,12.04,150.2,"Second-Seed Replication (640x384, 90f, 16st, Fast ON, s31415)"
FINAL_RUN_05,SeedReplication_640x384_90f_20st_FastON_s31415,seed_replication,I2V,640,384,90,3.75,20,True,31415,747.09,12.45,155.8,"Second-Seed Replication (640x384, 90f, 20st, Fast ON, s31415)"
FINAL_RUN_06,CurrentQuick_512x288_73f_08st_FastON_s42,quick_comparison,I2V,512,288,73,3.04,8,True,42,312.66,5.21,119.9,"Exact Current Quick Baseline (512x288, 73f, 8st, Fast ON, s42)"
