run_id,name,category,mode,width,height,frames,duration_s,steps,seed,elapsed_s,size_kb,desc
RUN_01,I2V_512x288_90f_08steps,steps_axis,I2V,512,288,90,3.75,8,42,411.71,125.4,"Quick Preset Step Level (8 steps)"
RUN_02,I2V_512x288_90f_10steps,steps_axis,I2V,512,288,90,3.75,10,42,405.38,120.7,"Standard Baseline (10 steps)"
RUN_03,I2V_512x288_90f_12steps,steps_axis,I2V,512,288,90,3.75,12,42,432.83,128.3,"High Preset Step Level (12 steps)"
RUN_04,I2V_512x288_90f_16steps,steps_axis,I2V,512,288,90,3.75,16,42,488.94,126.3,"Proposed Standard Sweet Spot (16 steps)"
RUN_05,I2V_512x288_90f_20steps,steps_axis,I2V,512,288,90,3.75,20,42,510.09,123.9,"High Quality Candidate (20 steps)"
RUN_06,I2V_512x288_90f_24steps,steps_axis,I2V,512,288,90,3.75,24,42,561.46,124.9,"Quality Ceiling (24 steps)"
RUN_07,I2V_640x384_90f_16steps,resolution_axis,I2V,640,384,90,3.75,16,42,708.32,169.7,"Tier 2 Resolution @ 16 steps"
RUN_08,I2V_640x384_90f_20steps,resolution_axis,I2V,640,384,90,3.75,20,42,729.16,179.5,"Tier 2 Resolution @ 20 steps"
RUN_09,I2V_640x384_73f_16steps,duration_axis,I2V,640,384,73,3.04,16,42,594.66,135.2,"Short 3.0s (73 frames)"
RUN_10,I2V_640x384_107f_16steps,duration_axis,I2V,640,384,107,4.46,16,42,857.83,171.1,"Medium 4.5s (107 frames)"
RUN_11,I2V_640x384_124f_20steps,duration_axis,I2V,640,384,124,5.17,20,42,981.09,285.2,"Long 5.2s (124 frames @ 20 steps)"
RUN_12,I2V_640x384_141f_20steps,duration_axis,I2V,640,384,141,5.88,20,42,1117.64,353.5,"Max Single Window 5.9s (141 frames @ 20 steps)"
RUN_13,T2V_512x288_90f_10steps,conditioning_axis,T2V,512,288,90,3.75,10,42,397.19,155.9,"T2V Current Baseline (10 steps)"
RUN_14,T2V_640x384_90f_16steps,conditioning_axis,T2V,640,384,90,3.75,16,42,678.83,107.0,"T2V Proposed Standard (16 steps)"
RUN_15,T2V_640x384_90f_24steps,conditioning_axis,T2V,640,384,90,3.75,24,42,790.7,123.2,"T2V High Steps (24 steps)"
RUN_16,I2V_Portrait_288x512_90f_10steps,portrait_axis,I2V,288,512,90,3.75,10,42,398.21,131.2,"Portrait Current Baseline (288x512, 10 steps)"
RUN_17,I2V_Portrait_384x640_90f_16steps,portrait_axis,I2V,384,640,90,3.75,16,42,705.27,226.9,"Portrait Proposed Standard (384x640, 16 steps)"
